Data;IBOV;IDADI;IDAIPCA;IRFM;DOLAR;SELIC;IFIX;
jan/11;1,22%;0,95%;1,38%;1,27%;-0,73%;0,86%;-0,51%;
fev/11;1,79%;1,04%;1,51%;0,82%;-1,96%;0,84%;2,78%;
mar/11;-3,58%;0,92%;1,21%;1,07%;-3,40%;0,92%;1,76%;
abr/11;-2,29%;1,09%;1,22%;1,27%;0,42%;0,84%;-0,55%;
mai/11;-3,43%;1,05%;0,75%;0,80%;-1,19%;0,99%;1,49%;
jun/11;-5,74%;1,12%;0,85%;0,72%;-0,31%;0,96%;2,69%;
jul/11;-3,96%;1,22%;1,58%;3,22%;1,99%;0,97%;0,77%;
ago/11;-7,38%;1,03%;4,10%;1,50%;16,83%;1,07%;1,67%;
set/11;11,49%;0,98%;1,16%;0,95%;-8,95%;0,94%;-0,36%;
out/11;-2,51%;0,97%;1,24%;1,76%;7,25%;0,88%;1,48%;
nov/11;-0,21%;1,01%;0,98%;0,30%;3,58%;0,86%;3,70%;
dez/11;11,13%;0,94%;1,32%;1,29%;-7,29%;0,91%;3,03%;
jan/12;4,34%;0,84%;1,50%;1,07%;-1,72%;0,89%;4,65%;
fev/12;-1,98%;0,93%;1,69%;1,14%;6,61%;0,75%;4,07%;
mar/12;-4,17%;0,82%;1,70%;1,74%;3,83%;0,82%;1,43%;
abr/12;-11,86%;0,84%;2,20%;1,47%;6,90%;0,71%;3,42%;
mai/12;-0,25%;0,73%;0,39%;1,29%;-0,05%;0,74%;3,90%;
jun/12;3,21%;0,78%;1,88%;1,19%;1,41%;0,64%;6,10%;
jul/12;1,72%;0,83%;1,37%;0,69%;-0,62%;0,68%;-0,43%;
ago/12;3,70%;0,63%;1,39%;0,59%;-0,32%;0,69%;1,76%;
set/12;-3,56%;0,71%;2,85%;1,65%;0,03%;0,54%;-2,09%;
out/12;0,71%;0,63%;1,27%;0,39%;3,75%;0,61%;0,40%;
nov/12;6,05%;0,63%;1,62%;0,94%;-3,03%;0,55%;4,45%;
dez/12;-1,95%;0,68%;1,42%;0,01%;-2,70%;0,55%;2,54%;
jan/13;-3,91%;0,55%;-0,04%;0,04%;-0,65%;0,60%;-0,99%;
fev/13;-1,87%;0,63%;0,72%;0,14%;1,94%;0,49%;-1,13%;
mar/13;-0,78%;0,70%;1,25%;1,35%;-0,60%;0,55%;-1,90%;
abr/13;-4,30%;0,67%;-1,50%;-0,87%;6,50%;0,61%;0,00%;
mai/13;-11,31%;0,64%;-2,81%;-0,98%;3,93%;0,60%;-7,23%;
jun/13;1,64%;0,75%;0,98%;1,34%;3,37%;0,61%;-0,70%;
jul/13;3,68%;0,77%;-1,49%;-1,09%;3,59%;0,72%;-3,64%;
ago/13;4,65%;0,77%;0,98%;1,54%;-6,01%;0,71%;1,82%;
set/13;3,66%;0,90%;0,47%;0,74%;-1,23%;0,71%;1,64%;
out/13;-3,27%;0,80%;-1,06%;-0,44%;5,55%;0,81%;-0,84%;
nov/13;-1,86%;0,86%;0,91%;0,84%;0,76%;0,72%;-2,62%;
dez/13;-7,51%;0,92%;-1,35%;-0,18%;3,57%;0,79%;-6,70%;
jan/14;-1,14%;0,84%;3,06%;2,18%;-3,83%;0,85%;3,74%;
fev/14;7,05%;0,85%;0,96%;0,63%;-3,02%;0,79%;0,45%;
mar/14;2,40%;0,91%;1,72%;1,28%;-1,19%;0,77%;1,05%;
abr/14;-0,75%;0,96%;2,77%;1,84%;0,13%;0,82%;1,41%;
mai/14;3,76%;0,91%;1,07%;0,92%;-1,63%;0,87%;1,31%;
jun/14;5,00%;1,03%;1,00%;1,13%;2,95%;0,82%;1,59%;
jul/14;9,78%;0,96%;2,06%;1,59%;-1,23%;0,95%;0,28%;
ago/14;-11,70%;1,01%;-0,99%;-0,74%;9,44%;0,87%;0,57%;
set/14;0,95%;1,05%;1,16%;1,14%;-0,28%;0,91%;-1,34%;
out/14;0,18%;0,92%;1,06%;1,16%;4,74%;0,95%;-2,92%;
nov/14;-8,62%;1,05%;-0,26%;-0,06%;3,75%;0,84%;-1,84%;
dez/14;-6,20%;1,00%;2,50%;1,79%;0,23%;0,96%;2,69%;
